location_code,has_hrp,in_gho,provider_admin1_name,provider_admin2_name,admin1_code,admin1_name,admin2_code,admin2_name,admin_level,operation,assessment_type,population,reporting_round,reference_period_start,reference_period_end
#country+code,#meta+has_hrp,#meta+in_gho,#adm1+name+provider,#adm2+name+provider,#adm1+code,#adm1+name,#adm2+code,#adm2+name,#adm+level,#operation+name,#assessment+type,#affected+idps,#round+code,#date+start,#date+end
NGA,True,True,Adamawa,,NG002,Adamawa,,,1,Lake Chad Basin Crisis,BA,136010,7,2015-12-01,2015-12-01
NGA,True,True,Adamawa,,NG002,Adamawa,,,1,Lake Chad Basin Crisis,BA,132626,8,2016-02-01,2016-02-01
NGA,True,True,Adamawa,,NG002,Adamawa,,,1,Lake Chad Basin Crisis,BA,150718,9,2016-04-30,2016-04-30
NGA,True,True,Adamawa,,NG002,Adamawa,,,1,Lake Chad Basin Crisis,BA,159445,10,2016-06-30,2016-06-30
NGA,True,True,Adamawa,,NG002,Adamawa,,,1,Lake Chad Basin Crisis,BA,163559,11,2016-08-30,2016-08-30
NGA,True,True,Adamawa,,NG002,Adamawa,,,1,Lake Chad Basin Crisis,BA,170070,12,2016-10-01,2016-10-01
NGA,True,True,Adamawa,,NG002,Adamawa,,,1,Lake Chad Basin Crisis,BA,152618,13,2016-11-01,2016-11-01
NGA,True,True,Adamawa,,NG002,Adamawa,,,1,Lake Chad Basin Crisis,BA,147528,14,2017-01-01,2017-01-01
NGA,True,True,Adamawa,,NG002,Adamawa,,,1,Lake Chad Basin Crisis,BA,148357,15,2017-03-31,2017-03-31
NGA,True,True,Adamawa,,NG002,Adamawa,,,1,Lake Chad Basin Crisis,BA,143209,16,2017-04-30,2017-04-30
NGA,True,True,Adamawa,,NG002,Adamawa,,,1,Lake Chad Basin Crisis,BA,140875,17,2017-06-30,2017-06-30
NGA,True,True,Adamawa,,NG002,Adamawa,,,1,Lake Chad Basin Crisis,BA,139362,18,2017-08-01,2017-08-01
NGA,True,True,Adamawa,,NG002,Adamawa,,,1,Lake Chad Basin Crisis,BA,140356,19,2017-10-01,2017-10-01
NGA,True,True,Adamawa,,NG002,Adamawa,,,1,Lake Chad Basin Crisis,BA,142175,20,2017-12-01,2017-12-01
NGA,True,True,Adamawa,,NG002,Adamawa,,,1,Lake Chad Basin Crisis,BA,174135,21,2018-02-28,2018-02-28
NGA,True,True,Adamawa,,NG002,Adamawa,,,1,Lake Chad Basin Crisis,BA,173152,22,2018-04-30,2018-04-30
NGA,True,True,Adamawa,,NG002,Adamawa,,,1,Lake Chad Basin Crisis,BA,178977,23,2018-06-30,2018-06-30
NGA,True,True,Adamawa,,NG002,Adamawa,,,1,Lake Chad Basin Crisis,BA,183570,24,2018-08-30,2018-08-30
NGA,True,True,Adamawa,,NG002,Adamawa,,,1,Lake Chad Basin Crisis,BA,197713,25,2018-10-30,2018-10-30
NGA,True,True,Adamawa,,NG002,Adamawa,,,1,Lake Chad Basin Crisis,BA,194603,26,2019-01-30,2019-01-30
NGA,True,True,Adamawa,,NG002,Adamawa,,,1,Lake Chad Basin Crisis,BA,192534,27,2019-05-30,2019-05-30
NGA,True,True,Adamawa,,NG002,Adamawa,,,1,Lake Chad Basin Crisis,BA,200011,28,2019-08-31,2019-08-31
NGA,True,True,Adamawa,,NG002,Adamawa,,,1,Lake Chad Basin Crisis,BA,196888,29,2019-11-30,2019-11-30
NGA,True,True,Adamawa,,NG002,Adamawa,,,1,Lake Chad Basin Crisis,BA,204699,30,2019-12-31,2019-12-31
NGA,True,True,Adamawa,,NG002,Adamawa,,,1,Lake Chad Basin Crisis,BA,206422,31,2020-02-28,2020-02-28
NGA,True,True,Adamawa,,NG002,Adamawa,,,1,Lake Chad Basin Crisis,BA,206969,32,2020-06-30,2020-06-30
NGA,True,True,Adamawa,,NG002,Adamawa,,,1,Lake Chad Basin Crisis,BA,213467,33,2020-08-30,2020-08-30
NGA,True,True,Adamawa,,NG002,Adamawa,,,1,Lake Chad Basin Crisis,BA,209125,34,2020-11-30,2020-11-30
NGA,True,True,Adamawa,,NG002,Adamawa,,,1,Lake Chad Basin Crisis,BA,209252,35,2020-12-31,2020-12-31
NGA,True,True,Adamawa,,NG002,Adamawa,,,1,Lake Chad Basin Crisis,BA,208334,36,2021-02-28,2021-02-28
NGA,True,True,Adamawa,,NG002,Adamawa,,,1,Lake Chad Basin Crisis,BA,209322,37,2021-06-30,2021-06-30
NGA,True,True,Adamawa,,NG002,Adamawa,,,1,Lake Chad Basin Crisis,BA,212486,38,2021-07-31,2021-07-31
NGA,True,True,Adamawa,,NG002,Adamawa,,,1,Lake Chad Basin Crisis,BA,221253,39,2021-10-30,2021-10-30
NGA,True,True,Adamawa,,NG002,Adamawa,,,1,Lake Chad Basin Crisis,BA,221752,40,2021-12-31,2021-12-31
NGA,True,True,Adamawa,,NG002,Adamawa,,,1,Lake Chad Basin Crisis,SA,27612,2,2015-02-28,2015-02-28
NGA,True,True,Adamawa,,NG002,Adamawa,,,1,Lake Chad Basin Crisis,SA,21948,3,2015-04-30,2015-04-30
NGA,True,True,Adamawa,,NG002,Adamawa,,,1,Lake Chad Basin Crisis,SA,6813,4,2015-06-30,2015-06-30
NGA,True,True,Adamawa,,NG002,Adamawa,,,1,Lake Chad Basin Crisis,SA,9919,5,2015-08-30,2015-08-30
NGA,True,True,Adamawa,,NG002,Adamawa,,,1,Lake Chad Basin Crisis,SA,7786,6,2015-10-30,2015-10-30
NGA,True,True,Adamawa,,NG002,Adamawa,,,1,Lake Chad Basin Crisis,SA,8841,7,2015-12-30,2015-12-30
NGA,True,True,Adamawa,,NG002,Adamawa,,,1,Lake Chad Basin Crisis,SA,10316,8,2016-02-28,2016-02-28
NGA,True,True,Adamawa,,NG002,Adamawa,,,1,Lake Chad Basin Crisis,SA,10916,9,2016-04-30,2016-04-30
NGA,True,True,Adamawa,,NG002,Adamawa,,,1,Lake Chad Basin Crisis,SA,11288,10,2016-06-30,2016-06-30
NGA,True,True,Adamawa,,NG002,Adamawa,,,1,Lake Chad Basin Crisis,SA,12967,11,2016-08-30,2016-08-30
NGA,True,True,Adamawa,,NG002,Adamawa,,,1,Lake Chad Basin Crisis,SA,12078,12,2016-10-30,2016-10-30
NGA,True,True,Adamawa,,NG002,Adamawa,,,1,Lake Chad Basin Crisis,SA,152618,13,2016-11-30,2016-11-30
NGA,True,True,Adamawa,,NG002,Adamawa,,,1,Lake Chad Basin Crisis,SA,147528,14,2017-01-30,2017-01-30
NGA,True,True,Adamawa,,NG002,Adamawa,,,1,Lake Chad Basin Crisis,SA,146605,15,2017-03-30,2017-03-30
NGA,True,True,Adamawa,,NG002,Adamawa,,,1,Lake Chad Basin Crisis,SA,143209,16,2017-04-30,2017-04-30
NGA,True,True,Adamawa,,NG002,Adamawa,,,1,Lake Chad Basin Crisis,SA,140875,17,2017-06-30,2017-06-30
NGA,True,True,Adamawa,,NG002,Adamawa,,,1,Lake Chad Basin Crisis,SA,139362,18,2017-08-30,2017-08-30
NGA,True,True,Adamawa,,NG002,Adamawa,,,1,Lake Chad Basin Crisis,SA,140356,19,2017-10-30,2017-10-30
NGA,True,True,Adamawa,,NG002,Adamawa,,,1,Lake Chad Basin Crisis,SA,142175,20,2017-12-30,2017-12-30
NGA,True,True,Adamawa,,NG002,Adamawa,,,1,Lake Chad Basin Crisis,SA,164150,21,2018-02-28,2018-02-28
NGA,True,True,Adamawa,,NG002,Adamawa,,,1,Lake Chad Basin Crisis,SA,173152,22,2018-04-30,2018-04-30
NGA,True,True,Adamawa,,NG002,Adamawa,,,1,Lake Chad Basin Crisis,SA,178977,23,2018-06-30,2018-06-30
NGA,True,True,Adamawa,,NG002,Adamawa,,,1,Lake Chad Basin Crisis,SA,183570,24,2018-08-30,2018-08-30
NGA,True,True,Adamawa,,NG002,Adamawa,,,1,Lake Chad Basin Crisis,SA,197713,25,2018-10-30,2018-10-30
NGA,True,True,Adamawa,,NG002,Adamawa,,,1,Lake Chad Basin Crisis,SA,194603,26,2019-01-30,2019-01-30
NGA,True,True,Adamawa,,NG002,Adamawa,,,1,Lake Chad Basin Crisis,SA,192534,27,2019-05-30,2019-05-30
NGA,True,True,Adamawa,,NG002,Adamawa,,,1,Lake Chad Basin Crisis,SA,200065,28,2019-08-31,2019-08-31
NGA,True,True,Adamawa,,NG002,Adamawa,,,1,Lake Chad Basin Crisis,SA,196888,29,2019-11-30,2019-11-30
NGA,True,True,Adamawa,,NG002,Adamawa,,,1,Lake Chad Basin Crisis,SA,204785,30,2019-12-31,2019-12-31
NGA,True,True,Adamawa,,NG002,Adamawa,,,1,Lake Chad Basin Crisis,SA,206422,31,2020-02-29,2020-02-29
NGA,True,True,Adamawa,,NG002,Adamawa,,,1,Lake Chad Basin Crisis,SA,207055,32,2020-06-30,2020-06-30
NGA,True,True,Adamawa,,NG002,Adamawa,,,1,Lake Chad Basin Crisis,SA,213467,33,2020-08-30,2020-08-30
